"chr","pos","endsratio","cmedian","strandFisherP","badQualFrac","logLikelihood","indelsMean","label"
"1",2523129,0.5455,2,1,0.3636,13.50332,0,"true_variant"
"1",9118314,0.3333,1,0.97111,0,5.35141,0,"technical_artifact"
"1",10478848,0.3333,1,1,0,4.127943,0.333,"technical_artifact"
"1",24124693,0.8333,1,0.04929,0.5,5.999704,0,"true_variant"
"1",27706584,0.5,1.5,0.00045,0.1667,22.501706,0,"technical_artifact"
"1",43916128,0.3929,1,3e-05,0.07143,33.877831,0,"true_variant"
"1",44457973,0.3611,2,0.00019,0.05556,47.819667,0,"true_variant"
"1",53683817,0.5556,1,0.12978,0.1111,10.834445,0,"true_variant"
"1",61872279,0.6667,1,0.10564,0.6667,7.972469,0.167,"technical_artifact"
"1",89294817,0.5,1,0.7665,0,8.618346,0,"technical_artifact"
"1",107600308,0.3636,1,2e-05,0.04545,28.523492,0,"true_variant"
"1",121484796,0.3478,3,0.40544,0.4783,14.61534,0.0435,"technical_artifact"
"1",145281780,0.3333,1,0.6679,0.2222,39.233985,0,"true_variant"
"1",145532054,0.3333,2,0.97699,0.05556,31.143199,0,"technical_artifact"
"1",154227292,0.9,1,0.9396,0,13.7134,0,"technical_artifact"
"1",154304168,0.9091,2,0.71524,0,10.754526,0,"technical_artifact"
"1",154897567,0.814,2,0,0.2791,53.019949,0.0233,"true_variant"
"1",167024106,0.5714,2,1,0.1429,7.029109,0,"true_variant"
"1",167871297,0.6842,2,0.16454,0.3684,16.748589,0.105,"technical_artifact"
"1",202123259,0.5385,2,0.52749,0,12.942934,0,"true_variant"
"1",205549757,0.6,2,0.00558,0.2857,44.004285,0,"true_variant"
"1",205549763,0.6857,2,0.00881,0.4,44.39274,0,"true_variant"
"1",209796305,0.4366,1,0,0.01408,88.083651,0,"true_variant"
"1",236917155,0.5263,2,0.09824,0.4211,20.559929,0.0526,"true_variant"
"1",236917161,0.6429,2,0.00414,0.3095,55.800127,0.0238,"true_variant"
"10",73050762,0.5789,2,0,0.2982,157.525758,0,"true_variant"
"10",74898993,0.3333,2,1,0.3333,4.084284,0.333,"true_variant"
"10",76748715,0.3478,2,1,0.1739,29.9306,0,"true_variant"
"10",80127304,0,1,0.82375,0,6.245388,0,"technical_artifact"
"10",98808613,0.7,2,0.70228,0.4,8.093886,0.6,"true_variant"
"10",99126427,0.4091,2,0.00769,0.04545,26.056799,0.0455,"true_variant"
"10",104835916,0.3333,1,0.68378,0,5.416187,0,"technical_artifact"
"10",123903009,0.7692,1,0.52035,0.3846,20.477007,0.0769,"technical_artifact"
"10",130262797,0,2,0.5115,0.3333,12.040428,0,"technical_artifact"
"10",135013095,0.4167,1,0.01123,0.1667,11.484481,0,"true_variant"
"11",1606186,0.675,2,3e-05,0.475,48.073501,0.075,"technical_artifact"
"11",1606231,0.3889,1,0.33435,0.3333,16.758411,0,"technical_artifact"
"11",6472147,0.3333,3,0.00039,0.1333,16.845047,0.0667,"true_variant"
"11",17099122,0.4444,1,0.09483,0.1111,8.578875,0,"technical_artifact"
"11",31531388,0.1667,1,0.90439,0,10.060967,0,"technical_artifact"
"11",45923421,0.2581,1,0.87444,0.09677,33.621926,0,"true_variant"
"11",47213027,0.2857,1,0,0,57.998725,0,"true_variant"
"11",47510410,0.4,1,0,0.1143,30.220125,0,"technical_artifact"
"11",59623551,0.4167,2,0.2869,0.5,13.551441,0.167,"true_variant"
"11",64606389,0.6667,2,0.08875,0.08333,15.858245,0,"technical_artifact"
"11",65396240,1,1.5,0.24967,0.1667,9.360708,0,"true_variant"
"11",71715059,0.6296,2,1e-05,0.2963,28.679821,0.148,"technical_artifact"
"11",71850070,0.5714,1,0.93389,0.4286,18.45472,0,"true_variant"
"11",71906425,0.6623,1,0,0.01299,77.392901,0,"technical_artifact"
"11",71945564,1,2,0.00821,0.2222,9.606055,0,"technical_artifact"
"11",73372728,0.3846,1,1,0,4.430379,0,"technical_artifact"
"11",73620592,0.7143,1,0.27649,0.1429,29.960515,0,"true_variant"
"11",108121426,1,2,0.16025,0,12.77036,0.111,"technical_artifact"
"11",111368994,0.25,1,0.8206,0,4.168349,0,"true_variant"
"11",111385466,0.5556,2,0.99888,0.4444,10.081081,0.111,"technical_artifact"
"11",114383804,0.6667,1,0.77555,0,5.649835,0,"technical_artifact"
"11",115049221,0.6667,1,1,0,4.353098,0.333,"true_variant"
"11",117265557,0.25,1,0.89116,0,17.78828,0,"true_variant"
"11",117265561,0.2,2,0.78056,0.1,20.534295,0,"technical_artifact"
"11",117863893,0.6667,2,1,0.1111,10.680726,0,"true_variant"
"11",118773105,0.8182,2,0.00142,0.09091,15.659488,0,"true_variant"
"11",118827899,0.5625,2,0.05759,0.4375,16.392541,0,"technical_artifact"
"12",250282,0.4231,2,0.00124,0.2692,29.593775,0,"technical_artifact"
"12",330742,0.8571,1,0.25986,0.1429,7.781049,0,"true_variant"
"12",1996148,0,1,0.79235,0,5.59154,0,"technical_artifact"
"12",6933730,0.6667,1,0.01835,0.1333,14.653552,0,"technical_artifact"
"12",31242218,0.4444,2,0.17723,0.5556,17.547801,0,"technical_artifact"
"12",31242232,0.3333,2,0.24228,0.5833,25.034671,0,"true_variant"
"12",46245481,0.25,1,0.73359,0.05,84.780368,0,"technical_artifact"
"12",46318571,0.7,1,7e-05,0.1,17.368054,0.05,"true_variant"
"12",48360947,0.8333,1,0.78354,0,8.152292,0,"technical_artifact"
"12",50190288,0,1,0.62858,0,4.738795,0,"technical_artifact"
"12",51868960,0.6818,2,0,0.06818,44.067817,0,"technical_artifact"
"12",56487711,0.5,1.5,0.15407,0.1,8.086588,0,"technical_artifact"
"12",57112395,0.3846,1,0.00867,0.3077,12.718565,0.0769,"technical_artifact"
"12",57849937,0.8644,2,0,0.4576,71.635344,0,"true_variant"
"12",57849943,0.6557,2,0,0.3443,68.342158,0,"true_variant"
"12",57870605,0.5,2,0.72017,0.1667,5.433221,0,"technical_artifact"
"12",100660812,0.7188,3,0.00394,0.8125,39.288894,0.0938,"true_variant"
"12",104712870,0.75,2,0.94729,0,6.866078,0,"technical_artifact"
"12",112846063,0.5278,1,0.08892,0.1111,45.405988,0,"true_variant"
"12",117923573,0.8571,1,0.60931,0,10.369475,0,"technical_artifact"
"12",119145421,0.25,2.5,0.86565,0.5,8.065773,0,"technical_artifact"
"12",122213047,0.75,2,0.96849,0.1667,13.548459,0,"true_variant"
"12",123351847,0,1,0.77336,0,5.364358,0,"technical_artifact"
"12",123351891,1,3,0.17911,0,15.879097,0,"true_variant"
"12",123428868,0.381,3,0.07897,0.4286,21.007258,0,"true_variant"
"12",130922908,0.4667,1,0.00046,0,16.913345,0,"true_variant"
"13",19624103,0.2381,1,0.27948,0.1667,90.012588,0,"true_variant"
"13",20134757,0.0667,2,0.72128,0.2667,34.351936,0,"true_variant"
"13",20134758,0.0667,2,0.75131,0.2667,33.328369,0,"true_variant"
"13",22300150,0,3,0.55865,0.6,11.222464,0,"technical_artifact"
"13",28931560,0.4286,2,1,0.1429,9.644029,0,"true_variant"
"13",30091942,0.2727,2,0.36161,0.1818,12.047893,0,"technical_artifact"
"13",96743860,1,1,1,0.5,5.496902,0,"technical_artifact"
"13",113975820,0.5263,2,1e-05,0.1053,14.129521,0,"technical_artifact"
"14",24795033,0.6667,1,0.59947,0,5.62036,0,"technical_artifact"
"14",78234778,0.125,2,0.40588,0.375,15.551839,0.25,"technical_artifact"
"15",22332432,0.6364,2,0.20525,0.2727,19.801211,0.818,"technical_artifact"
"15",33936693,0.3333,1,0.75801,0,5.159719,0,"technical_artifact"
"15",41804400,0.3333,1,0.63503,0,6.028274,0,"technical_artifact"
"15",63128228,0,1,0.88829,0,5.913595,0,"technical_artifact"
"15",83808046,1,2,0.11681,0.3333,8.755912,0,"technical_artifact"
"16",830855,0.2333,2,0.73625,0.1833,128.024243,0,"technical_artifact"
"16",1261924,0.916,1,0,0.1933,110.607941,0.0252,"technical_artifact"
"16",2105339,0.8,2,0.81942,0.2667,15.656005,0,"true_variant"
"16",2331576,1,3,0.87931,0.2857,8.20566,0,"true_variant"
"16",3107154,0.4921,1,0,0.03175,65.801841,0,"technical_artifact"
"16",4310225,0.7059,2,0.00356,0.3529,22.283595,0,"true_variant"
"16",4390299,0.92,3,0.38723,0.36,27.756302,0,"true_variant"
"16",19592996,0.9286,1.5,0.34165,0.1429,16.016324,0,"true_variant"
"16",20355514,0.625,2,0.18823,0.125,4.531262,0,"technical_artifact"
"16",21817457,0.1111,2,0.9266,0.4444,18.80629,0,"technical_artifact"
"16",33238008,0,2,0.94286,0,4.3975,0,"technical_artifact"
"16",46392046,0.5556,1,0.41809,0.2222,11.603469,0,"technical_artifact"
"16",46407708,0.6,2,0.75686,0.6,4.477844,0,"technical_artifact"
"16",48201055,0.2,1,1,0.2,6.867149,0,"true_variant"
"16",56509445,0.7917,2,0.48226,0.25,41.642468,0.125,"true_variant"
"16",57246998,0.2419,1,0.37537,0.01613,155.259345,0,"true_variant"
"16",81303687,0.186,1,0.02566,0.06977,57.69051,0,"true_variant"
"16",87447957,0.1707,2,0.83198,0.2561,166.443211,0,"technical_artifact"
