chr,pos,vaf,endsratio,cmedian,strandFisherP,badQualFrac,logLikelihood,indelsMean
1,907690,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1230978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1247258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1274939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1372580,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1685827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1690568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1850733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1886529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2252880,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2341796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2523124,0.2,0.4737,2.0,0.8,0.3684,25.556836,0.0
1,2523129,0.1325,0.5455,2.0,1.0,0.3636,13.50332,0.0
1,2583843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2700910,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3322193,0.0064,0.0,1.0,0.57962,0.0,0.413094,0.0
1,3548049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3680362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3809655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4235702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4827735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5735101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5735428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6343012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8420631,0.0309,0.6,1.0,0.97263,0.0,1.738018,0.0
1,8921535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9118314,0.0667,0.3333,1.0,0.97111,0.0,5.35141,0.0
1,9714522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10231218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10478848,0.0938,0.3333,1.0,1.0,0.0,4.127943,0.333
1,11249884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11838788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12907358,0.4198,0.3387,2.0,0.05355,0.4597,100.0,0.0
1,13839630,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,13933750,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15820307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16349242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16775612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16891696,0.1,0.0,1.0,0.9,0.0,2.066316,0.0
1,16935131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16974423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17087309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17263189,0.4643,0.2308,1.0,0.92937,0.2308,36.803192,0.0
1,17313256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17606842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18023813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19566289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20009069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20649992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20964481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21042180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21377416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,21937996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22142456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22155962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22174021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22974340,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22985816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,22987667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23763944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,24015838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,24124693,0.0845,0.8333,1.0,0.04929,0.5,5.999704,0.0
1,25254088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25944488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,26524382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27440479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27706584,0.1192,0.5,1.5,0.00045,0.1667,22.501706,0.0
1,27876676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29557385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29649988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,32042984,0.0045,1.0,2.0,0.55,0.0,-0.061091,0.0
1,32119375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,32650110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,32694747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,33841015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,34285305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,35365788,0.363,0.2818,1.0,0.93261,0.009091,100.0,0.0
1,36319239,0.0286,1.0,1.0,0.94286,0.0,0.547829,0.0
1,38171073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
