"chr","pos","endsratio","cmedian","strandFisherP","badQualFrac","logLikelihood","indelsMean","label"
"1",2523124,0.381,2,0.34001,0.1905,25.536046,0,"true_variant"
"1",2523129,0.5,1,0.85737,0.125,6.183526,0,"true_variant"
"1",16974423,0.2979,1,0.79261,0.5745,98.874854,0,"technical_artifact"
"1",17087309,0.3654,1,0.47233,0.1346,125.728603,0,"technical_artifact"
"1",22985816,0.3333,2,1,0.3333,6.527752,0,"true_variant"
"1",27706584,0.6923,1,0.00059,0,12.09713,0,"technical_artifact"
"1",32119375,0.75,1,0.78419,0,4.924449,0,"technical_artifact"
"1",38465097,0,1,0.83893,0,5.310932,0,"technical_artifact"
"1",43916128,0.4211,1,0,0.1579,44.287813,0,"true_variant"
"1",44457973,0.383,2,0,0.234,54.087105,0,"true_variant"
"1",53692689,0.25,1.5,0.85965,0.25,10.410203,0,"true_variant"
"1",53746388,0.2308,1,0.57702,0,97.553266,0,"true_variant"
"1",61872279,0.4615,2,0.01636,0.2308,16.946933,0,"true_variant"
"1",98039231,0.6667,1,1,0,13.594117,0,"technical_artifact"
"1",107600308,0.3235,1,0,0.02941,42.931778,0,"technical_artifact"
"1",112028340,0.6667,2,0.67742,0.2667,19.135086,0,"true_variant"
"1",120612034,0.75,2,0.71782,0.25,7.556416,1,"true_variant"
"1",121484796,0.1429,2,0.43701,0.1429,12.397899,0.143,"technical_artifact"
"1",145281780,0.4,1,0.75333,0.2,21.84548,0,"technical_artifact"
"1",145532054,0.5,2,0.70962,0,14.428126,0,"technical_artifact"
"1",154227292,1,1.5,0.96095,0,7.084991,0,"technical_artifact"
"1",154303890,0.25,1.5,0.05815,0.08333,13.993926,0,"true_variant"
"1",154304168,0.9231,2,0.6395,0.07692,14.174611,0,"technical_artifact"
"1",154897567,0.7895,2,1e-05,0.2895,46.182531,0.0263,"technical_artifact"
"1",167024106,0.5714,2,1,0.1429,5.415099,0,"technical_artifact"
"1",167871297,0.5333,1,0.18479,0.06667,13.513595,0.2,"technical_artifact"
"1",196882005,0.3108,1,0.27325,0.4865,178.09112,0,"true_variant"
"1",202123259,0.5333,2,0.10955,0,18.123321,0,"technical_artifact"
"1",205549757,0.7105,2,0.00661,0.2632,49.747754,0.0263,"true_variant"
"1",205549763,0.6389,2,0.00201,0.2222,46.277924,0.0278,"true_variant"
"1",209796305,0.629,2,0,0.03226,76.408816,0,"true_variant"
"1",214782036,0.3333,2,0.07209,1,9.760757,0,"true_variant"
"1",215960153,0.5581,2,0,0.02326,63.64524,0,"true_variant"
"1",218458651,0.2308,1,0.5205,0.03846,55.821281,0,"technical_artifact"
"1",236917155,0.7037,2,0.03111,0.4074,28.483324,0.037,"technical_artifact"
"1",236917161,0.7692,2,0.00216,0.2051,51.618585,0.0256,"true_variant"
"10",8556560,0.25,1,0.35078,0.4,43.145666,0,"true_variant"
"10",33552895,0.5,1.5,1,0.25,4.753505,0,"true_variant"
"10",46999601,0.7292,2,0.57083,0.4792,102.795448,0.271,"technical_artifact"
"10",73050762,0.5686,2,0,0.3333,125.497045,0.0098,"true_variant"
"10",76748715,0.2,2,0.39834,0.2,18.328617,0,"true_variant"
"10",76784940,0.3333,1,0.58458,0,5.406038,0,"technical_artifact"
"10",96058229,0.381,1,0.35553,0.04762,89.503135,0,"true_variant"
"10",98808613,0.5833,2,0.3461,0.3333,11.01556,0.417,"true_variant"
"10",99093826,0.5,1.5,0.70857,0,4.524881,0,"technical_artifact"
"10",99126427,0.4167,1.5,0.00067,0.04167,28.3311,0,"true_variant"
"10",116232878,0.1579,1,0.89374,0,40.076018,0,"technical_artifact"
"10",123903009,0.9,1.5,0.82218,0.3,11.880717,0,"technical_artifact"
"10",130262797,0,2,0.52534,0.8,6.01211,0,"technical_artifact"
"10",135013095,0.35,1,0.00075,0,18.495826,0,"technical_artifact"
"11",993833,0.3333,1,0.57356,0,5.222362,0,"technical_artifact"
"11",1606186,0.8235,2,0.03929,0.5,41.273144,0,"technical_artifact"
"11",1606231,0.5455,2,0.37943,0.7273,7.757894,0,"technical_artifact"
"11",3427671,0.1429,2,1,0.2857,15.846647,0,"technical_artifact"
"11",6472147,0.45,1.5,1e-05,0.1,23.907267,0.05,"true_variant"
